estrutura,tamanho,repeticao,tempoNs
ArrayBinario,1000,6,83491
ArrayBinario,1000,7,87367
ArrayBinario,1000,8,83624
ArrayBinario,1000,9,83026
ArrayBinario,1000,10,83880
ArrayBinario,1000,11,83606
ArrayBinario,1000,12,84290
ArrayBinario,1000,13,105078
ArrayBinario,1000,14,108579
ArrayBinario,1000,15,112828
ArrayBinario,1000,16,94600
ArrayBinario,1000,17,85204
ArrayBinario,1000,18,100313
ArrayBinario,1000,19,116859
ArrayBinario,1000,20,90567
ArrayBinario,1000,21,111739
ArrayBinario,1000,22,86191
ArrayBinario,1000,23,79997
ArrayBinario,1000,24,80105
ArrayBinario,1000,25,79946
ArrayBinario,1000,26,79854
ArrayBinario,1000,27,81983
ArrayBinario,1000,28,80761
ArrayBinario,1000,29,100589
ListaEncadeada,1000,0,1312976
ListaEncadeada,1000,1,1207794
ListaEncadeada,1000,2,1093435
ListaEncadeada,1000,3,1157518
ListaEncadeada,1000,4,1188266
ListaEncadeada,1000,5,1078143
ListaEncadeada,1000,6,1226402
ListaEncadeada,1000,7,1165521
ListaEncadeada,1000,8,1141357
ListaEncadeada,1000,9,1215578
ListaEncadeada,1000,10,1155861
ListaEncadeada,1000,11,1095462
ListaEncadeada,1000,12,1084465
ListaEncadeada,1000,13,1002521
ListaEncadeada,1000,14,1148618
ListaEncadeada,1000,15,1012700
ListaEncadeada,1000,16,1092313
ListaEncadeada,1000,17,1051307
ListaEncadeada,1000,18,1069392
ListaEncadeada,1000,19,1181463
ListaEncadeada,1000,20,1153561
ListaEncadeada,1000,21,1077884
ListaEncadeada,1000,22,1182254
ListaEncadeada,1000,23,1130588
ListaEncadeada,1000,24,1103681
ListaEncadeada,1000,25,1225775
ListaEncadeada,1000,26,1062069
ListaEncadeada,1000,27,1118886
ListaEncadeada,1000,28,1075639
ListaEncadeada,1000,29,908346
ArvoreBST,1000,0,98039
ArvoreBST,1000,1,148215
ArvoreBST,1000,2,115378
ArvoreBST,1000,3,83143
ArvoreBST,1000,4,87671
ArvoreBST,1000,5,83229
ArvoreBST,1000,6,81477
ArvoreBST,1000,7,82717
ArvoreBST,1000,8,82725
ArvoreBST,1000,9,83258
ArvoreBST,1000,10,96151
ArvoreBST,1000,11,83166
ArvoreBST,1000,12,84405
ArvoreBST,1000,13,82492
ArvoreBST,1000,14,82436
ArvoreBST,1000,15,136005
ArvoreBST,1000,16,127964
ArvoreBST,1000,17,113699
