estrutura,tamanho,repeticao,tempoInsercaoNs,tempoBuscaNs,memoriaBytes
HashTable,1000,5,369624,106231,53408
HashTable,1000,6,696837,107044,53408
HashTable,1000,7,340133,129255,53408
HashTable,1000,8,628119,219382,53408
HashTable,1000,9,663532,209979,53408
HashTable,1000,10,509678,95987,53408
HashTable,1000,11,518262,155963,53408
HashTable,1000,12,217897,90650,53408
HashTable,1000,13,406089,132250,53408
HashTable,1000,14,440280,88881,53408
HashTable,1000,15,276587,250905,53408
HashTable,1000,16,202143,257285,53408
HashTable,1000,17,166673,97360,53408
HashTable,1000,18,165506,98708,53408
HashTable,1000,19,162240,170985,53408
HashTable,1000,20,236605,140038,53408
HashTable,1000,21,201061,72682,53408
HashTable,1000,22,157582,34463,53408
HashTable,1000,23,98363,40498,53408
HashTable,1000,24,90597,25941,53408
HashTable,1000,25,178488,22780,53408
HashTable,1000,26,121840,25021,53408
HashTable,1000,27,259756,26068,53408
HashTable,1000,28,116795,30879,53408
HashTable,1000,29,87009,82715,53408
ArrayLinear,10000,0,315824,1348332,0
ArrayLinear,10000,1,183703,1818603,0
ArrayLinear,10000,2,83056,2021809,0
ArrayLinear,10000,3,53280,2045122,0
ArrayLinear,10000,4,50526,1505564,0
ArrayLinear,10000,5,49143,892358,0
ArrayLinear,10000,6,106801,976221,0
ArrayLinear,10000,7,100598,989423,0
ArrayLinear,10000,8,59066,977907,0
ArrayLinear,10000,9,57081,1030614,0
ArrayLinear,10000,10,65907,933953,0
ArrayLinear,10000,11,162849,1063422,0
ArrayLinear,10000,12,227214,1000183,0
ArrayLinear,10000,13,56525,1823259,0
ArrayLinear,10000,14,90965,1077561,0
ArrayLinear,10000,15,53446,1293654,0
ArrayLinear,10000,16,55334,1344588,0
ArrayLinear,10000,17,55237,1555929,0
ArrayLinear,10000,18,133063,1090527,0
ArrayLinear,10000,19,85933,992631,0
ArrayLinear,10000,20,70733,1016118,0
ArrayLinear,10000,21,62795,954998,0
ArrayLinear,10000,22,146750,1018633,0
ArrayLinear,10000,23,92064,990540,0
ArrayLinear,10000,24,55124,1112362,0
ArrayLinear,10000,25,48264,1761695,0
ArrayLinear,10000,26,68139,1260460,0
ArrayLinear,10000,27,58941,1365104,0
ArrayLinear,10000,28,56633,1579337,0
ArrayLinear,10000,29,61212,1428865,0
ArrayBinario,10000,0,4702400,274328,0
ArrayBinario,10000,1,2463101,245456,0
ArrayBinario,10000,2,1683892,155842,0
ArrayBinario,10000,3,1593726,141717,0
ArrayBinario,10000,4,1522203,195942,0
ArrayBinario,10000,5,1510786,186882,0
ArrayBinario,10000,6,1520873,423169,0
ArrayBinario,10000,7,1293374,229997,0
ArrayBinario,10000,8,1681092,277475,0
ArrayBinario,10000,9,1175001,228175,0
ArrayBinario,10000,10,1137070,493042,0
ArrayBinario,10000,11,1035855,440671,0
ArrayBinario,10000,12,1006080,303422,0
ArrayBinario,10000,13,1312884,308004,0
ArrayBinario,10000,14,802414,402206,0
ArrayBinario,10000,15,903279,276668,0
ArrayBinario,10000,16,1493089,363140,0
ArrayBinario,10000,17,1290411,202782,0
ArrayBinario,10000,18,1261858,271433,0
ArrayBinario,10000,19,947657,139044,0
ArrayBinario,10000,20,616529,116496,0
ArrayBinario,10000,21,601633,85446,0
ArrayBinario,10000,22,1060458,96186,0
ArrayBinario,10000,23,702759,89066,0
ArrayBinario,10000,24,664077,105514,0
ArrayBinario,10000,25,777738,116264,0
ArrayBinario,10000,26,944696,126227,0
ArrayBinario,10000,27,820290,125207,0
ArrayBinario,10000,28,1239950,166203,0
ArrayBinario,10000,29,802806,155195,0
ListaEncadeada,10000,0,410756,19971802,240000
ListaEncadeada,10000,1,466039,23963990,240000
ListaEncadeada,10000,2,372278,20183138,240000
ListaEncadeada,10000,3,320271,16666069,240000
ListaEncadeada,10000,4,263303,15638619,240000
ListaEncadeada,10000,5,202962,18094942,240000
ListaEncadeada,10000,6,414801,14559406,240000
ListaEncadeada,10000,7,159887,12098477,240000
ListaEncadeada,10000,8,183299,12777027,240000
ListaEncadeada,10000,9,281570,14030724,240000
ListaEncadeada,10000,10,154396,13383437,240000
ListaEncadeada,10000,11,269016,15162451,240000
ListaEncadeada,10000,12,168315,14496955,240000
ListaEncadeada,10000,13,156727,13785957,240000
ListaEncadeada,10000,14,162896,14348252,240000
ListaEncadeada,10000,15,193412,15497876,240000
ListaEncadeada,10000,16,193390,16265314,240000
ListaEncadeada,10000,17,206396,14470821,240000
ListaEncadeada,10000,18,189578,13656606,240000
ListaEncadeada,10000,19,179811,12634696,240000
ListaEncadeada,10000,20,292470,12524816,240000
ListaEncadeada,10000,21,178966,12985122,240000
ListaEncadeada,10000,22,292990,12784213,240000
ListaEncadeada,10000,23,181020,13807290,240000
ListaEncadeada,10000,24,169748,13264970,240000
ListaEncadeada,10000,25,274181,13370546,240000
ListaEncadeada,10000,26,145038,14379904,240000
ListaEncadeada,10000,27,150241,12130626,240000
ListaEncadeada,10000,28,208342,12811028,240000
ListaEncadeada,10000,29,140507,12670061,240000
ArvoreBST,10000,0,2552885,238350,240000
ArvoreBST,10000,1,2899515,622604,240000
ArvoreBST,10000,2,3317239,144895,240000
ArvoreBST,10000,3,2626121,126895,240000
ArvoreBST,10000,4,2390467,166997,240000
ArvoreBST,10000,5,1592585,168010,240000
ArvoreBST,10000,6,1569821,220677,240000
ArvoreBST,10000,7,1826346,151626,240000
ArvoreBST,10000,8,1751885,165839,240000
ArvoreBST,10000,9,2073085,191622,240000
ArvoreBST,10000,10,2518300,140597,240000
ArvoreBST,10000,11,2381284,130044,240000
ArvoreBST,10000,12,1826835,124709,240000
ArvoreBST,10000,13,2117004,173098,240000
ArvoreBST,10000,14,2230225,399446,240000
ArvoreBST,10000,15,1465907,122367,240000
ArvoreBST,10000,16,1501869,123938,240000
ArvoreBST,10000,17,1601128,153572,240000
ArvoreBST,10000,18,1870152,148726,240000
ArvoreBST,10000,19,1702874,130192,240000
ArvoreBST,10000,20,2095628,165411,240000
ArvoreBST,10000,21,1653097,282374,240000
ArvoreBST,10000,22,1793289,157442,240000
ArvoreBST,10000,23,1588128,139679,240000
ArvoreBST,10000,24,1815522,147787,240000
ArvoreBST,10000,25,1930191,109384,240000
ArvoreBST,10000,26,2150461,114243,240000
ArvoreBST,10000,27,1588588,117490,240000
ArvoreBST,10000,28,1681614,120203,240000
ArvoreBST,10000,29,1347038,191952,240000
HashTable,10000,0,2478625,176368,522448
HashTable,10000,1,1382429,167442,522448
HashTable,10000,2,1182801,62631,522448
HashTable,10000,3,628506,71688,522448
HashTable,10000,4,1227597,141167,522448
HashTable,10000,5,709151,152843,522448
HashTable,10000,6,468455,409251,522448
HashTable,10000,7,643233,108730,522448
HashTable,10000,8,584925,87631,522448
HashTable,10000,9,480457,121805,522448
HashTable,10000,10,601472,135599,522448
HashTable,10000,11,676484,76599,522448
HashTable,10000,12,1082909,76079,522448
HashTable,10000,13,756068,92634,522448
HashTable,10000,14,576878,74782,522448
HashTable,10000,15,475778,79367,522448
HashTable,10000,16,603882,161462,522448
HashTable,10000,17,635019,155794,522448
HashTable,10000,18,686296,90651,522448
HashTable,10000,19,838971,81119,522448
HashTable,10000,20,1379750,107067,522448
HashTable,10000,21,687957,127694,522448
HashTable,10000,22,625332,121265,522448
HashTable,10000,23,1194477,382365,522448
HashTable,10000,24,593865,150055,522448
HashTable,10000,25,644108,89565,522448
HashTable,10000,26,1449041,64421,522448
HashTable,10000,27,924485,79595,522448
HashTable,10000,28,1252178,57503,522448
HashTable,10000,29,1355123,69588,522448
ArrayLinear,100000,0,483327,13401292,0
ArrayLinear,100000,1,674413,17489109,0
ArrayLinear,100000,2,1148201,13709230,0
ArrayLinear,100000,3,531734,13807289,0
ArrayLinear,100000,4,567926,12718230,0
ArrayLinear,100000,5,727873,13394466,0
ArrayLinear,100000,6,560214,13049618,0
ArrayLinear,100000,7,592745,13879096,0
ArrayLinear,100000,8,549874,13968341,0
ArrayLinear,100000,9,666733,14936218,0
ArrayLinear,100000,10,692318,14283118,0
ArrayLinear,100000,11,590777,15094719,0
ArrayLinear,100000,12,590576,14617183,0
ArrayLinear,100000,13,667659,14300712,0
ArrayLinear,100000,14,1475512,14831142,0
ArrayLinear,100000,15,1038329,14016729,0
ArrayLinear,100000,16,551854,14065842,0
ArrayLinear,100000,17,547673,13547336,0
ArrayLinear,100000,18,541822,12453929,0
ArrayLinear,100000,19,518310,14353459,0
ArrayLinear,100000,20,563962,13771307,0
ArrayLinear,100000,21,1628394,15217070,0
ArrayLinear,100000,22,1565799,14719766,0
ArrayLinear,100000,23,662269,14067602,0
ArrayLinear,100000,24,1222774,16528740,0
ArrayLinear,100000,25,1298544,16037660,0
ArrayLinear,100000,26,702312,14992229,0
ArrayLinear,100000,27,703236,17591378,0
ArrayLinear,100000,28,705202,14823026,0
ArrayLinear,100000,29,675537,15582750,0
ArrayBinario,100000,0,23461584,244732,0
ArrayBinario,100000,1,21150328,236389,0
ArrayBinario,100000,2,13600559,218978,0
ArrayBinario,100000,3,10394227,185187,0
ArrayBinario,100000,4,23110742,310222,0
ArrayBinario,100000,5,10356224,230841,0
ArrayBinario,100000,6,9450496,508574,0
ArrayBinario,100000,7,7984913,209875,0
ArrayBinario,100000,8,9344034,203068,0
ArrayBinario,100000,9,9119822,710437,0
ArrayBinario,100000,10,7539691,217574,0
ArrayBinario,100000,11,10271137,202425,0
ArrayBinario,100000,12,8784986,206082,0
ArrayBinario,100000,13,7081848,205933,0
ArrayBinario,100000,14,9018293,190479,0
ArrayBinario,100000,15,8599041,193592,0
ArrayBinario,100000,16,7748429,253374,0
ArrayBinario,100000,17,7800133,189207,0
ArrayBinario,100000,18,9773894,187234,0
ArrayBinario,100000,19,8341719,225109,0
ArrayBinario,100000,20,7992312,279781,0
ArrayBinario,100000,21,9420164,195507,0
ArrayBinario,100000,22,8488463,321231,0
ArrayBinario,100000,23,8864126,218644,0
ArrayBinario,100000,24,10143516,217134,0
ArrayBinario,100000,25,9857337,224321,0
ArrayBinario,100000,26,9399465,210678,0
ArrayBinario,100000,27,9406870,315242,0
ArrayBinario,100000,28,9215494,228851,0
ArrayBinario,100000,29,12333978,408070,0
ListaEncadeada,100000,0,10024639,157441985,2400000
ListaEncadeada,100000,1,8746744,157490097,2400000
ListaEncadeada,100000,2,7986408,161102707,2400000
ListaEncadeada,100000,3,8676339,162579800,2400000
ListaEncadeada,100000,4,11186834,173850829,2490512
ListaEncadeada,100000,5,9576395,168825397,2400000
ListaEncadeada,100000,6,9899106,147669477,2400000
ListaEncadeada,100000,7,8807363,162766389,2400000
ListaEncadeada,100000,8,9344201,154584073,2429792
ListaEncadeada,100000,9,7095595,162043741,2442584
ListaEncadeada,100000,10,8224468,158858413,2400000
ListaEncadeada,100000,11,8637623,162886070,2400000
ListaEncadeada,100000,12,10080165,173195424,2428808
ListaEncadeada,100000,13,8255010,171717271,2443864
ListaEncadeada,100000,14,9129048,151084472,2400000
ListaEncadeada,100000,15,7887529,151300429,2400000
ListaEncadeada,100000,16,6556738,137898606,2429600
ListaEncadeada,100000,17,6895652,157387110,2442904
ListaEncadeada,100000,18,9422242,160071382,2400000
ListaEncadeada,100000,19,8159299,145932411,2400000
ListaEncadeada,100000,20,8476915,158682358,2429600
ListaEncadeada,100000,21,8000234,154025531,2442904
ListaEncadeada,100000,22,6024521,167422823,2400000
ListaEncadeada,100000,23,9031239,150452061,2400000
ListaEncadeada,100000,24,7489500,153383160,2400000
ListaEncadeada,100000,25,8451209,149007852,2492936
ListaEncadeada,100000,26,7713999,157920609,2400000
ListaEncadeada,100000,27,7659677,169361768,2400000
ListaEncadeada,100000,28,11108736,173058751,2429600
ListaEncadeada,100000,29,7997762,149147350,2442424
ArvoreBST,100000,0,35165504,319769,2400000
ArvoreBST,100000,1,29873362,251932,2400000
ArvoreBST,100000,2,33641618,526562,2429600
ArvoreBST,100000,3,32931567,271068,2400000
ArvoreBST,100000,4,35847028,293085,2400000
ArvoreBST,100000,5,33782742,289856,2400000
ArvoreBST,100000,6,35199781,417978,2449016
ArvoreBST,100000,7,33108979,332035,2428184
ArvoreBST,100000,8,38618773,579081,2400000
ArvoreBST,100000,9,33432812,382259,2400000
ArvoreBST,100000,10,33320081,246986,2463848
ArvoreBST,100000,11,33655222,347237,2417224
ArvoreBST,100000,12,32559475,312498,2400000
ArvoreBST,100000,13,36846148,275084,2400000
ArvoreBST,100000,14,36539279,354117,2461808
ArvoreBST,100000,15,35519034,289909,2400000
ArvoreBST,100000,16,35366507,345786,2400000
ArvoreBST,100000,17,52617208,418481,2400000
ArvoreBST,100000,18,35945620,453123,2469392
ArvoreBST,100000,19,35355592,249468,2492936
ArvoreBST,100000,20,35553133,302032,2400000
ArvoreBST,100000,21,42697243,452963,2400000
ArvoreBST,100000,22,43606636,272010,2429600
ArvoreBST,100000,23,37006288,269458,2442824
ArvoreBST,100000,24,39293103,327776,2400000
ArvoreBST,100000,25,33762734,326673,2400000
ArvoreBST,100000,26,33105878,234011,2465864
ArvoreBST,100000,27,33395983,377666,2492936
ArvoreBST,100000,28,32726210,272355,2400000
ArvoreBST,100000,29,37275802,315277,2400000
HashTable,100000,0,18736241,129221,5091232
HashTable,100000,1,18474854,408831,5091232
HashTable,100000,2,19197141,194623,5091232
HashTable,100000,3,26574083,168116,5091232
HashTable,100000,4,17800607,125620,5091232
HashTable,100000,5,18420095,183430,5091232
HashTable,100000,6,16307063,240396,5091232
HashTable,100000,7,20063937,367453,5091232
HashTable,100000,8,19163279,187151,5091232
HashTable,100000,9,18463583,150387,5091232
HashTable,100000,10,18394183,157919,5091232
HashTable,100000,11,21195036,188022,5091232
HashTable,100000,12,19755419,149966,5091232
HashTable,100000,13,18517244,237644,5091232
HashTable,100000,14,16067605,130457,5091232
HashTable,100000,15,22627778,152526,5091232
HashTable,100000,16,20687655,248133,5091232
HashTable,100000,17,23367831,173082,5091232
HashTable,100000,18,17753649,235843,5091232
HashTable,100000,19,16604681,156491,5091232
HashTable,100000,20,18823273,219447,5091232
HashTable,100000,21,17944951,158961,5091232
HashTable,100000,22,23857759,297038,5091232
HashTable,100000,23,20727488,251401,5091232
HashTable,100000,24,18383051,186685,5091232
HashTable,100000,25,18780502,242876,5091232
HashTable,100000,26,16569129,221203,5091232
HashTable,100000,27,18096535,142704,5091232
HashTable,100000,28,19678670,220790,5091232
HashTable,100000,29,18219843,228767,5091232
ArrayLinear,500000,0,2809045,72947471,0
ArrayLinear,500000,1,3850413,67691296,0
ArrayLinear,500000,2,5402580,85671954,0
ArrayLinear,500000,3,3094608,84398659,0
ArrayLinear,500000,4,2928695,75580452,0
ArrayLinear,500000,5,2327127,76630443,0
ArrayLinear,500000,6,3223774,71499163,0
ArrayLinear,500000,7,2414492,100694729,0
ArrayLinear,500000,8,3114457,107255267,0
ArrayLinear,500000,9,3092736,87487826,0
ArrayLinear,500000,10,3958212,104528215,0
ArrayLinear,500000,11,7097078,89834516,0
ArrayLinear,500000,12,3315592,89626965,0
ArrayLinear,500000,13,3430929,108905510,0
ArrayLinear,500000,14,3836992,93496148,0
ArrayLinear,500000,15,5440487,84162721,0
ArrayLinear,500000,16,4081973,72994126,0
ArrayLinear,500000,17,5172071,69866518,0
